Date,MEDCPIM158SFRBCLE,CPIAUCSL,CPIFABSL,CPIAPPSL,CPIMEDSL,CPIHOSSL,CPITRNSL,CPIEDUSL,CPIRECSL,CPIOGSSL,Date
2004Q1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,2004-03-31
2004Q2,99.653642059816,100.96205237841,101.19112073633,100.66445182724,101.0766721044,100.9589770911,101.24378109453,100.17969451932,100.27624309392,100.36339610175,2004-06-30
2004Q3,78.504725519879,101.44307856761,101.46182999459,99.667774086379,102.088091354,101.6515716569,101.61691542289,100.62893081761,100.09208103131,101.2553683515,2004-09-30
2004Q4,70.042720061649,102.45857830037,102.27395776936,99.501661129568,103.03425774878,102.3441662227,104.78855721393,100.89847259659,100.18416206262,101.81698050875,2004-12-31
2005Q1,69.381868829684,103.20684126136,102.65295073092,100.08305647841,104.30668841762,103.3031433138,105.22388059702,101.5274034142,100.27624309392,102.70895275851,2005-03-31
2005Q2,59.419764534484,103.52752538749,103.41093665403,99.169435215947,105.31810766721,103.67607884923,105.16169154229,101.97663971249,100.36832412523,103.13842087876,2005-06-30
2005Q3,147.18782555838,106.25334045965,103.8982133189,98.920265780731,106.13376835237,104.84816196058,116.72885572139,102.78526504942,101.01289134438,104.12950115626,2005-09-30
2005Q4,80.635290016764,105.87920897916,104.65619924201,98.504983388704,107.40619902121,106.33990410229,109.45273631841,103.32434860737,101.28913443831,104.92236537826,2005-12-31
2006Q1,112.71869356721,106.73436664885,105.25175961018,98.920265780731,108.51549755302,107.19232818327,110.75870646766,104.04312668464,101.74953959484,105.61612157251,2006-03-31
2006Q2,117.02121784278,107.85676109033,105.73903627504,99.750830564784,109.62479608483,108.04475226425,113.80597014925,104.85175202156,102.30202578269,106.14469772052,2006-06-30
2006Q3,77.028306983812,108.39123463389,106.55116404981,99.833887043189,110.63621533442,109.05700586042,112.87313432836,105.57053009883,102.30202578269,106.90452593327,2006-09-30
2006Q4,99.676136736669,108.55157669695,106.93015701137,99.501661129568,111.32137030995,109.85615343633,110.88308457711,105.75022461815,102.30202578269,107.99471423852,2006-12-31
2007Q1,98.322443376002,109.72100481026,108.74553329724,99.499169435216,112.85448613377,110.87852956846,112.58768656716,106.44204851752,102.35451197053,109.26527915428,2007-03-31
2007Q2,119.51539737789,110.76109032603,109.89550622631,98.485049833887,114.03360522023,111.64677677144,114.98880597015,107.37915543576,102.62430939227,110.08919722498,2007-06-30
2007Q3,135.47406871164,111.46285408872,111.17866811045,98.025747508306,115.67079934747,112.14704315397,115.87313432836,108.16172506739,102.54604051565,110.69441691444,2007-09-30
2007Q4,109.07882569614,113.01175841796,112.14997292907,99.127906976744,117.09885807504,113.16888652104,120.15236318408,108.92902066487,103.09576427256,111.53881731087,2007-12-31
2008Q1,111.19379842028,114.08230892571,113.4786139686,98.33803986711,117.95530179445,114.23654768247,121.81094527363,109.66666666667,103.70902394107,112.79583746283,2008-03-31
2008Q2,148.24815436142,116.2282202031,115.56686518679,98.422757475083,118.6528548124,115.53755993607,128.30410447761,111.0269541779,103.92909760589,114.21341261976,2008-06-30
2008Q3,116.0908087485,116.98396579369,117.89334055225,99.35049833887,119.36084828711,116.05540756526,128.01990049751,112.01347708895,104.96408839779,115.10637594979,2008-09-30
2008Q4,13.293002095013,112.98663816141,118.6524093124,98.105481727575,120.30929853181,115.85988279169,103.65236318408,112.92991913747,104.92173112339,115.36868186323,2008-12-31
2009Q1,69.788189288534,113.5729556387,118.39848402815,99.97342192691,121.27406199021,115.85402237613,105.37873134328,113.59658580413,105.43554327808,119.17971589032,2009-03-31
2009Q2,27.642089010757,114.79957242116,118.07904710341,99.897009966777,122.40685154976,115.58604155567,112.35509950249,114.33602875112,105.41896869245,122.3789230261,2009-06-30
2009Q3,33.439475755295,115.37199358632,117.84731997834,100.31478405316,123.44502446982,115.43953116676,115.25435323383,115.18778077269,105.49907918969,123.70994383878,2009-09-30
2009Q4,16.852326930719,116.16622127205,118.21386031402,100.03405315615,124.34290375204,115.55620671284,119.1026119403,115.62084456424,104.55340699816,124.68979187314,2009-12-31
2010Q1,-10.461673822568,116.16942811331,118.74445046021,99.854651162791,125.844045677,115.15503462973,119.01430348259,116.29739442947,104.23112338858,125.07895606211,2010-03-31
2010Q2,46.253350922496,116.0871191876,118.91012452626,99.354651162791,126.65187601958,115.10921683538,117.80223880597,116.74663072776,104.63904235727,125.90023125206,2010-06-30
2010Q3,56.183111560675,116.66221272047,119.43584190579,99.011627906977,127.66329526917,115.20191795418,120.22139303483,117.16801437556,104.1270718232,126.67459530889,2010-09-30
2010Q4,50.957399244009,117.83645109567,119.95452084461,99.022425249169,128.38955954323,115.51571656899,125.90422885572,117.17879604672,103.79742173112,127.01552692435,2010-12-31
2011Q1,63.786883259115,119.21218599679,122.00162425555,99.450996677741,129.29526916803,116.03303143314,130.34266169154,117.52470799641,104.14364640884,127.36868186323,2011-03-31
2011Q2,70.462495541269,120.15285943346,123.22847861397,101.08803986711,130.31517128874,116.57325519446,132.43594527363,117.88589398023,104.49447513812,127.69871159564,2011-06-30
2011Q3,91.134252936633,121.11010154997,124.82999458582,102.36212624585,131.22414355628,117.28929142248,133.9894278607,118.53099730458,104.4650092081,128.28576148001,2011-09-30
2011Q4,86.831885907458,121.44468198824,125.27991337304,103.7084717608,132.86460032626,117.72296217368,132.95024875622,119.17789757412,104.87661141805,129.19359101421,2011-12-31
2012Q1,88.512811325944,122.29128808124,125.88088792637,104.52657807309,133.85220228385,118.04954714971,135.85634328358,119.75651392633,105.45027624309,129.53716551041,2012-03-31
2012Q2,70.29189888958,122.14003206841,126.4883595019,104.85714285714,135.49396411093,118.44379328716,131.98072139304,120.35669362084,105.69429097606,130.28377931946,2012-06-30
2012Q3,83.623531522946,123.47140566542,126.84677855983,104.97176079734,136.52626427406,119.05327650506,137.7947761194,120.44923629829,105.90607734807,130.82424843079,2012-09-30
2012Q4,65.48598157925,123.58150721539,127.51543042772,105.72176079734,137.13572593801,119.74267448055,135.27611940298,121.01796945193,105.86924493554,131.11100099108,2012-12-31
2013Q1,44.446931818422,124.14858364511,127.84515430428,105.45681063123,138.03882544861,120.28183271177,136.18470149254,121.8957771788,106.07182320442,131.96399074992,2013-03-31
