,Date,Original,Corpus,Class
0,2009-03-18,information received since federal open market committee met january indicates economy continues contract,information receive since federal open market committee met january indicates economy continue contract,0
1,2009-03-18,job losses declining equity housing wealth tight credit conditions weighed consumer sentiment spending,job loss decline equity housing wealth tight credit condition weigh consumer sentiment spending,0
2,2009-03-18,although near term economic outlook weak committee anticipates policy actions stabilize financial markets institutions together fiscal monetary stimulus contribute gradual resumption sustainable economic growth,although near term economic outlook weak committee anticipates policy action stabilize financial market institution together fiscal monetary stimulus contribute gradual resumption sustainable economic growth,0
3,2009-03-18,light increasing economic slack abroad committee expects inflation remain subdued,light increase economic slack abroad committee expect inflation remain subdue,0
4,2009-03-18,moreover committee sees risk inflation could persist time rates best foster economic growth price stability longer term,moreover committee see risk inflation could persist time rate best foster economic growth price stability longer term,0
5,2009-03-18,circumstances federal reserve employ available tools promote economic recovery preserve price stability,circumstance federal reserve employ available tool promote economic recovery preserve price stability,0
6,2009-03-18,committee maintain target range federal funds rate   percent anticipates economic conditions likely warrant exceptionally low levels federal funds rate extended period,committee maintain target range federal fund rate percent anticipates economic condition likely warrant exceptionally low level federal fund rate extend period,0
7,2009-03-18,committee continue carefully monitor size composition federal reserve balance sheet light evolving financial economic developments,committee continue carefully monitor size composition federal reserve balance sheet light evolve financial economic development,0
