,0-25 BPS,25-50 BPS,50-75 BPS,75-100 BPS,100-125 BPS,125-150 BPS,150-175 BPS,175-200 BPS
2021-11-02,0.9892778669084846,0.010722133091515373,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-14,1.0,-5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-25,0.95042724609375,0.049572753906250044,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-15,0.8449952697754171,0.15500473022458294,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-03,0.6899986485072519,0.3100013514927481,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-14,0.4428362165178572,0.5571637834821428,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-26,0.0,0.6899883563701923,0.3100116436298077,0.0,0.0,0.0,0.0,0.0
2022-09-20,0.0,0.0,0.0799560546875,0.9200439453125,0.0,0.0,0.0,0.0
2022-11-01,0.0,0.0,0.1517254007273494,0.8482745992726506,0.0,0.0,0.0,0.0
2022-12-13,0.0,0.0,0.33231060321514416,0.6676893967848558,0.0,0.0,0.0,0.0
