,Date,No Hike,Hike
0,2021-11-02,1.0000026157924131,-2.6157924131742227e-06
1,2021-12-14,1.0443289620535716,-0.04432896205357151
2,2022-01-25,0.9751757812499999,0.024824218750000016
3,2022-03-15,0.9612405395508077,0.03875946044919232
4,2022-05-03,0.8450148664201984,0.1549851335798016
5,2022-06-14,0.5714678083147322,0.4285321916852678
6,2022-07-26,0.7853569617638222,0.2146430382361778
7,2022-09-20,0.10003662109375,0.89996337890625
8,2022-11-01,0.6275786301185131,0.3724213698814869
9,2022-12-13,0.4277155949519229,0.5722844050480771
